"Algorithm","Number","Time"
"Fibonacci","97","9.0098"
"Factorial","97","5.6865"
"Fibonacci","37","4.0872"
"Factorial","37","4.2055"
"Fibonacci","68","6.0255"
"Factorial","68","3.5398"
"Fibonacci","46","4.5174"
"Factorial","46","1.9794"
"Fibonacci","86","3.5688"
"Factorial","86","2.7303"
"Fibonacci","44","3.7214"
"Factorial","44","2.7406"
"Fibonacci","73","5.1469"
"Factorial","73","3.8015"
"Fibonacci","84","3.968"
"Factorial","84","2.0976"
"Fibonacci","21","7.4999"
"Factorial","21","2.439"
"Fibonacci","93","3.6418"
"Factorial","93","2.351"
"Fibonacci","40","5.2843"
"Factorial","40","1.7575"
"Fibonacci","15","6.1059"
"Factorial","15","1.9843"
"Fibonacci","62","4.9338"
"Factorial","62","2.3077"
"Fibonacci","12","3.1187"
"Factorial","12","2.1606"
"Fibonacci","88","3.0949"
"Factorial","88","3.6228"
"Fibonacci","14","3.2587"
"Factorial","14","2.2417"
"Fibonacci","56","3.5656"
"Factorial","56","1.8388"
"Fibonacci","23","3.0413"
"Factorial","23","3.4952"
"Fibonacci","47","4.3787"
"Factorial","47","1.6399"
"Fibonacci","79","4.3929"
"Factorial","79","2.0301"
"Fibonacci","60","2.9254"
"Factorial","60","1.7926"
"Fibonacci","42","4.3243"
"Factorial","42","1.7991"
"Fibonacci","8","3.0779"
"Factorial","8","1.6747"
"Fibonacci","69","4.0759"
"Factorial","69","2.0185"
"Fibonacci","91","3.0541"
"Factorial","91","4.4265"
"Fibonacci","74","3.3648"
"Factorial","74","1.985"
"Fibonacci","81","2.6088"
"Factorial","81","3.4359"
"Fibonacci","75","2.8504"
"Factorial","75","1.6095"
"Fibonacci","22","2.7093"
"Factorial","22","1.6079"
"Fibonacci","99","3.6882"
"Factorial","99","1.5873"
"Fibonacci","63","2.2968"
"Factorial","63","1.4512"
"Fibonacci","36","3.2371"
"Factorial","36","2.0553"
"Fibonacci","89","2.9212"
"Factorial","89","3.5913"
"Fibonacci","96","11.0062"
"Factorial","96","2.4469"
"Fibonacci","16","2.8404"
"Factorial","16","1.8235"
"Fibonacci","17","2.0978"
"Factorial","17","1.4857"
"Fibonacci","11","2.7015"
"Factorial","11","1.6016"
"Fibonacci","55","2.3605"
"Factorial","55","1.5319"
"Fibonacci","80","2.5559"
"Factorial","80","1.2818"
"Fibonacci","87","2.3319"
"Factorial","87","2.0832"
"Fibonacci","51","2.7779"
"Factorial","51","1.619"
"Fibonacci","20","2.4297"
"Factorial","20","3.3855"
"Fibonacci","10","3.475"
"Factorial","10","1.5606"
"Fibonacci","94","2.8314"
"Factorial","94","1.6606"
"Fibonacci","77","2.8045"
"Factorial","77","5.4383"
"Fibonacci","35","3.6675"
"Factorial","35","2.4853"
"Fibonacci","7","2.5191"
"Factorial","7","1.3644"
"Fibonacci","57","2.4035"
"Factorial","57","1.6869"
"Fibonacci","50","2.2913"
"Factorial","50","1.3794"
"Fibonacci","18","2.3937"
"Factorial","18","1.2682"
"Fibonacci","76","2.5018"
"Factorial","76","1.3718"
"Fibonacci","49","2.418"
"Factorial","49","1.778"
"Fibonacci","98","2.4892"
"Factorial","98","1.4096"
"Fibonacci","26","2.4722"
"Factorial","26","1.4347"
"Fibonacci","85","2.6846"
"Factorial","85","1.343"
"Fibonacci","100","2.8574"
"Factorial","100","4.158"
"Fibonacci","95","3.8819"
"Factorial","95","2.0547"
"Fibonacci","32","2.3994"
"Factorial","32","1.2528"
"Fibonacci","33","2.5438"
"Factorial","33","1.2538"
"Fibonacci","1","2.3997"
"Factorial","1","1.4882"
"Fibonacci","5","2.5209"
"Factorial","5","1.3277"
"Fibonacci","67","2.7147"
"Factorial","67","1.5043"
"Fibonacci","82","3.2982"
"Factorial","82","1.4918"
"Fibonacci","43","2.5533"
"Factorial","43","1.978"
"Fibonacci","52","2.4831"
"Factorial","52","1.4929"
"Fibonacci","27","2.5393"
"Factorial","27","1.6689"
"Fibonacci","30","2.7834"
"Factorial","30","3.9231"
"Fibonacci","54","3.8819"
"Factorial","54","1.9945"
"Fibonacci","58","2.6284"
"Factorial","58","1.6447"
"Fibonacci","83","2.8791"
"Factorial","83","1.6599"
"Fibonacci","4","2.4054"
"Factorial","4","4.4332"
"Fibonacci","34","2.9769"
"Factorial","34","1.516"
"Fibonacci","45","2.663"
"Factorial","45","1.6467"
"Fibonacci","2","2.4391"
"Factorial","2","4.1246"
"Fibonacci","78","3.4371"
"Factorial","78","1.8295"
"Fibonacci","66","2.9456"
"Factorial","66","1.5455"
"Fibonacci","53","2.6604"
"Factorial","53","1.3514"
"Fibonacci","59","3.4703"
"Factorial","59","2.2229"
"Fibonacci","6","2.6103"
"Factorial","6","1.5397"
"Fibonacci","39","2.6438"
"Factorial","39","1.4196"
"Fibonacci","72","2.9545"
"Factorial","72","1.7595"
"Fibonacci","71","2.9283"
"Factorial","71","1.5302"
"Fibonacci","65","2.7827"
"Factorial","65","1.288"
"Fibonacci","19","2.2901"
"Factorial","19","1.2516"
