"Algorithm","Number","Time"
"Fibonacci","4","4.4681"
"Factorial","4","2.6227"
"Fibonacci","52","2.6068"
"Factorial","52","2.4993"
"Fibonacci","15","2.441"
"Factorial","15","1.8324"
"Fibonacci","16","2.3333"
"Factorial","16","2.1644"
"Fibonacci","93","3.2369"
"Factorial","93","1.938"
"Fibonacci","14","2.9583"
"Factorial","14","2.0973"
"Fibonacci","56","2.6825"
"Factorial","56","2.285"
"Fibonacci","26","2.8087"
"Factorial","26","1.969"
"Fibonacci","78","2.8507"
"Factorial","78","2.1069"
"Fibonacci","73","2.3801"
"Factorial","73","1.7926"
"Fibonacci","6","2.1934"
"Factorial","6","1.9253"
"Fibonacci","76","2.9196"
"Factorial","76","1.8149"
"Fibonacci","57","2.7038"
"Factorial","57","1.7986"
"Fibonacci","67","3.5671"
"Factorial","67","2.5986"
"Fibonacci","65","4.0829"
"Factorial","65","2.221"
"Fibonacci","25","3.1894"
"Factorial","25","2.7808"
"Fibonacci","99","3.0057"
"Factorial","99","2.564"
"Fibonacci","42","3.1113"
"Factorial","42","2.357"
"Fibonacci","13","3.1073"
"Factorial","13","2.479"
"Fibonacci","20","3.8632"
"Factorial","20","2.5655"
"Fibonacci","35","3.08"
"Factorial","35","2.0026"
"Fibonacci","81","6.8635"
"Factorial","81","2.1861"
"Fibonacci","46","2.8043"
"Factorial","46","1.9711"
"Fibonacci","50","2.9233"
"Factorial","50","1.9738"
"Fibonacci","10","2.4808"
"Factorial","10","2.1422"
"Fibonacci","66","2.8891"
"Factorial","66","2.5847"
"Fibonacci","49","2.4872"
"Factorial","49","1.9314"
"Fibonacci","60","2.4481"
"Factorial","60","1.8856"
"Fibonacci","41","3.3323"
"Factorial","41","1.7249"
"Fibonacci","5","2.2559"
"Factorial","5","1.59"
"Fibonacci","75","2.8069"
"Factorial","75","1.8182"
"Fibonacci","88","2.7678"
"Factorial","88","2.9811"
"Fibonacci","94","2.5073"
"Factorial","94","1.6911"
"Fibonacci","21","2.3501"
"Factorial","21","1.9513"
"Fibonacci","32","2.4852"
"Factorial","32","1.6258"
"Fibonacci","33","2.2365"
"Factorial","33","1.8058"
"Fibonacci","96","2.5622"
"Factorial","96","1.796"
"Fibonacci","31","2.4058"
"Factorial","31","1.6261"
"Fibonacci","61","2.7657"
"Factorial","61","1.9466"
"Fibonacci","86","2.7755"
"Factorial","86","2.2184"
"Fibonacci","97","3.0137"
"Factorial","97","2.3229"
"Fibonacci","71","2.4709"
"Factorial","71","2.0432"
"Fibonacci","29","3.2157"
"Factorial","29","1.8554"
"Fibonacci","18","2.2213"
"Factorial","18","1.411"
"Fibonacci","62","2.058"
"Factorial","62","1.4377"
"Fibonacci","85","2.0696"
"Factorial","85","1.5479"
"Fibonacci","19","2.1032"
"Factorial","19","1.4646"
"Fibonacci","77","2.2559"
"Factorial","77","1.7324"
"Fibonacci","98","2.237"
"Factorial","98","1.7215"
"Fibonacci","47","2.7655"
"Factorial","47","2.1833"
"Fibonacci","38","2.484"
"Factorial","38","1.8228"
"Fibonacci","55","2.2072"
"Factorial","55","1.8248"
"Fibonacci","87","2.6044"
"Factorial","87","1.4596"
"Fibonacci","63","2.3917"
"Factorial","63","1.5326"
"Fibonacci","40","2.1784"
"Factorial","40","1.4111"
"Fibonacci","82","2.0798"
"Factorial","82","1.4057"
"Fibonacci","74","2.389"
"Factorial","74","2.0096"
"Fibonacci","100","2.3567"
"Factorial","100","1.4042"
"Fibonacci","83","2.4297"
"Factorial","83","1.7275"
"Fibonacci","22","2.1454"
"Factorial","22","1.7297"
"Fibonacci","69","2.3987"
"Factorial","69","1.4152"
"Fibonacci","36","2.7234"
"Factorial","36","2.108"
"Fibonacci","64","2.752"
"Factorial","64","1.8313"
"Fibonacci","54","2.4706"
"Factorial","54","1.9091"
"Fibonacci","1","1.9499"
"Factorial","1","1.3574"
"Fibonacci","44","2.0139"
"Factorial","44","1.2915"
"Fibonacci","11","2.0564"
"Factorial","11","1.7032"
"Fibonacci","24","2.4112"
"Factorial","24","1.522"
"Fibonacci","95","2.327"
"Factorial","95","1.1943"
"Fibonacci","59","1.9742"
"Factorial","59","1.6842"
"Fibonacci","17","2.3526"
"Factorial","17","1.5787"
"Fibonacci","27","2.058"
"Factorial","27","1.3603"
"Fibonacci","9","1.9027"
"Factorial","9","1.3242"
"Fibonacci","68","3.0086"
"Factorial","68","2.169"
"Fibonacci","51","2.8737"
"Factorial","51","2.2674"
"Fibonacci","70","3.1254"
"Factorial","70","1.761"
"Fibonacci","30","2.3254"
"Factorial","30","1.9022"
"Fibonacci","89","2.7126"
"Factorial","89","1.5317"
"Fibonacci","48","1.6889"
"Factorial","48","1.8413"
"Fibonacci","90","1.4667"
"Factorial","90","1.9295"
"Fibonacci","45","1.3302"
"Factorial","45","1.3263"
"Fibonacci","79","1.6416"
"Factorial","79","1.3917"
"Fibonacci","84","2.6031"
"Factorial","84","1.6662"
"Fibonacci","2","2.1254"
"Factorial","2","1.5921"
"Fibonacci","92","2.6871"
"Factorial","92","1.6541"
"Fibonacci","80","2.3383"
"Factorial","80","1.6849"
"Fibonacci","7","2.2413"
"Factorial","7","1.4143"
"Fibonacci","91","2.5785"
"Factorial","91","1.3194"
"Fibonacci","3","1.9691"
"Factorial","3","1.3738"
"Fibonacci","53","2.0818"
"Factorial","53","1.4062"
"Fibonacci","43","2.3823"
"Factorial","43","1.5091"
"Fibonacci","28","2.2662"
"Factorial","28","1.2394"
"Fibonacci","12","2.0917"
"Factorial","12","1.2872"
"Fibonacci","8","2.444"
"Factorial","8","1.4397"
"Fibonacci","34","2.032"
"Factorial","34","1.3605"
"Fibonacci","58","2.1571"
"Factorial","58","1.6244"
"Fibonacci","39","2.3117"
"Factorial","39","1.6551"
"Fibonacci","37","2.3425"
"Factorial","37","1.6079"
"Fibonacci","23","2.2073"
"Factorial","23","1.2858"
"Fibonacci","72","1.9267"
"Factorial","72","1.5474"
